Model;Decoration;K;Llk;AIC;BIC
WAG;+G+I+F;78;-8162,34349;16480,68698;16788,42978
WAG;+G+I;59;-8186,23844;16490,47688;16723,25669
LG;+G+I;59;-8187,44709;16492,89418;16725,67399
WAG;+G+F;77;-8172,55914;16499,11828;16802,91566
LG;+G;58;-8193,44105;16502,88210;16731,71649
WAG;+G;58;-8194,91251;16505,82502;16734,65941
LG;+G+I+F;78;-8176,77247;16509,54494;16817,28774
VT;+G+I;59;-8207,51106;16533,02212;16765,80193
CpREV;+G+I+F;78;-8192,43856;16540,87712;16848,61992
VT;+G+I+F;78;-8203,15144;16562,30288;16870,04568
RtREV;+G+I+F;78;-8204,36521;16564,73042;16872,47322
CpREV;+G+I;59;-8225,16551;16568,33102;16801,11083
JTT;+G+I;59;-8229,23312;16576,46624;16809,24605
JTT;+G+I+F;78;-8213,90480;16583,80960;16891,55240
RtREV;+G+I;59;-8237,92509;16593,85018;16826,62999
Blosum62;+G+I+F;78;-8237,54478;16631,08956;16938,83236
Blosum62;+G+I;59;-8258,49650;16634,99300;16867,77281
Flu;+G+I+F;78;-8249,62303;16655,24606;16962,98886
Dayhoff;+G+I+F;78;-8278,50132;16713,00264;17020,74544
DCMut;+G+I+F;78;-8278,81901;16713,63802;17021,38082
Dayhoff;+G+I;59;-8317,37280;16752,74560;16985,52541
DCMut;+G+I;59;-8317,64001;16753,28002;16986,05983
HIVb;+G+I+F;78;-8314,15948;16784,31896;17092,06176
MtREV;+G+I+F;78;-8323,86855;16803,73710;17111,47990
MtZoa;+G+I+F;78;-8336,70174;16829,40348;17137,14628
AB;+G+I+F;78;-8362,53469;16881,06938;17188,81218
MtArt;+G+I+F;78;-8454,56596;17065,13192;17372,87472
LG;;57;-8476,57074;17067,14148;17292,03045
HIVw;+G+I+F;78;-8479,51049;17115,02098;17422,76378
MtMam;+G+I+F;78;-8487,40352;17130,80704;17438,54984
